date,precision_in_bits,pphys,dx,dz,dm,dx2,dz2,dm2,error_rate,qubits,code_cycles
2024-03-29 13:24,128,1e-05,3,3,3,7,3,7,2.1893020863488387e-11,1206,270.0840096500208
2024-03-29 13:24,128,1e-05,3,3,3,7,3,9,2.539302074799916e-11,1390,270.0840096231272
2024-03-29 13:24,128,1e-05,3,3,3,7,3,11,3.202336769661526e-11,1606,330.07371659119167
2024-03-29 13:24,128,1e-05,3,3,3,7,5,3,1.7266129771764507e-11,1158,270.0702555119991
2024-03-29 13:24,128,1e-05,3,3,3,7,5,5,2.0739619552505103e-11,1278,270.05398753705015
2024-03-29 13:24,128,1e-05,3,3,3,7,5,7,2.463960067941701e-11,1430,270.0539661654887
2024-03-29 13:24,128,1e-05,3,3,3,7,5,9,2.8939600654847704e-11,1614,270.05396613788275
2024-03-29 13:24,128,1e-05,3,3,3,7,5,11,3.635074373304154e-11,1830,330.02884647433206
2024-03-29 13:25,128,1e-05,3,3,3,7,7,3,1.8470486015549798e-11,1382,270.0719074464716
2024-03-29 13:25,128,1e-05,3,3,3,7,7,5,2.2739623124038398e-11,1502,270.05397051803374
2024-03-29 13:25,128,1e-05,3,3,3,7,7,7,2.7439603378504628e-11,1654,270.05394814528313
2024-03-29 13:25,128,1e-05,3,3,3,7,7,9,3.253960335325258e-11,1838,270.05394811696215
2024-03-29 13:25,128,1e-05,3,3,3,7,7,11,4.075074700631835e-11,2054,330.0288195602446
2024-03-29 13:25,128,1e-05,3,3,3,7,9,3,1.9675254282012338e-11,1606,270.07357740339415
2024-03-29 13:25,128,1e-05,3,3,3,7,9,5,2.4739642639073376e-11,1726,270.0539715093891
2024-03-29 13:25,128,1e-05,3,3,3,7,9,7,3.023962199065651e-11,1878,270.0539481354481
2024-03-29 13:25,128,1e-05,3,3,3,7,9,9,3.6139621964674715e-11,2062,270.053948106412
2024-03-29 13:25,128,1e-05,3,3,3,7,9,11,4.515076975096631e-11,2278,330.0288195444872
2024-03-29 13:25,128,1e-05,3,3,3,7,11,3,2.0880403551324935e-11,1830,270.07524738423797
2024-03-29 13:25,128,1e-05,3,3,3,7,11,5,2.6739662167131476e-11,1950,270.0539725136074
2024-03-29 13:25,128,1e-05,3,3,3,7,11,7,3.3039640614179306e-11,2102,270.05394813847596
