date,precision_in_bits,pphys,dx,dz,dm,dx2,dz2,dm2,error_rate,qubits,code_cycles
2024-03-24 00:06,128,1e-05,3,3,3,3,3,3,1.8732496044115976e-05,534,270.0882375381635
2024-03-24 00:06,128,1e-05,3,3,3,3,3,5,2.4098908390612905e-05,622,270.07610258199037
2024-03-24 00:06,128,1e-05,3,3,3,3,3,7,3.039859166531489e-05,742,270.07608385084626
2024-03-24 00:06,128,1e-05,3,3,3,3,3,9,3.763147751789653e-05,894,270.07608382524074
2024-03-24 00:06,128,1e-05,3,3,3,3,3,11,4.850847150372761e-05,1078,330.06187929842304
2024-03-24 00:06,128,1e-05,3,3,3,3,5,3,2.1532408060132013e-05,630,270.0814958086528
2024-03-24 00:06,128,1e-05,3,3,3,3,5,5,2.8765339794567524e-05,718,270.0686458846158
2024-03-24 00:06,128,1e-05,3,3,3,3,5,7,3.6931517477190035e-05,838,270.0686267248593
2024-03-24 00:06,128,1e-05,3,3,3,3,5,9,4.603083804277652e-05,990,270.0686266989481
2024-03-24 00:06,128,1e-05,3,3,3,3,5,11,5.877412701682516e-05,1174,330.05074199856074
2024-03-24 00:09,128,1e-05,3,3,3,3,7,3,2.4332401672322312e-05,726,270.08762285907204
2024-03-24 00:09,128,1e-05,3,3,3,3,7,5,3.3431826295005074e-05,814,270.07405739945233
2024-03-24 00:09,128,1e-05,3,3,3,3,7,7,4.3464462543107985e-05,934,270.07403781023476
2024-03-24 00:09,128,1e-05,3,3,3,3,7,9,5.44301700414751e-05,1086,270.07403778401647
2024-03-24 00:09,128,1e-05,3,3,3,3,7,11,6.903973988148238e-05,1270,330.05882349747753
2024-03-24 00:09,128,1e-05,3,3,3,3,9,3,2.7132397022455734e-05,822,270.0937577406227
2024-03-24 00:09,128,1e-05,3,3,3,3,9,5,3.8098288057675234e-05,910,270.07947671829874
2024-03-24 00:09,128,1e-05,3,3,3,3,9,7,4.999734703337033e-05,1030,270.0794566996045
2024-03-24 00:09,128,1e-05,3,3,3,3,9,9,6.282939367796558e-05,1182,270.0794566730796
2024-03-24 00:09,128,1e-05,3,3,3,3,9,11,7.930519087318011e-05,1366,330.06691667987434
