date,precision_in_bits,pphys,dx,dz,dm,dx2,dz2,dm2,n1,error_rate,qubits,code_cycles
2024-04-02 16:34,128,1e-05,3,1,1,5,1,1,6,1.3949259473763496e-06,1152,15.940034141752054
2024-04-02 16:34,128,1e-05,3,1,1,5,1,3,2,8.41181068443977e-09,992,47.43646201954481
2024-04-02 16:34,128,1e-05,3,1,1,5,1,3,4,5.334075386378273e-09,1294,23.206586553554317
2024-04-02 16:34,128,1e-05,3,1,1,5,1,3,6,5.359418730947314e-09,1596,22.99541338318804
2024-04-02 16:34,128,1e-05,3,1,1,5,1,5,2,9.063355359573626e-09,1700,47.43440068887581
2024-04-02 16:34,128,1e-05,3,1,1,5,1,5,4,8.478953750454116e-09,2030,38.88043764793375
2024-04-02 16:34,128,1e-05,3,1,1,5,1,5,6,8.479083050974876e-09,2360,38.88043780065021
2024-04-02 16:34,128,1e-05,3,1,1,5,1,7,2,1.3088371535279766e-08,2728,55.22117826368959
2024-04-02 16:34,128,1e-05,3,1,1,5,1,7,4,1.3088371788842702e-08,3086,55.22117826390627
2024-04-02 16:34,128,1e-05,3,1,1,5,1,7,6,1.308837204240564e-08,3444,55.221178264122955
2024-04-02 16:35,128,1e-05,3,1,1,5,3,1,2,7.381161189756784e-07,844,47.32412505805221
2024-04-02 16:35,128,1e-05,3,1,1,5,3,1,4,9.691367330792807e-07,1118,23.755507335107744
2024-04-02 16:35,128,1e-05,3,1,1,5,3,1,6,1.2453391910592073e-06,1392,15.899640662740586
2024-04-02 16:35,128,1e-05,3,1,1,5,3,3,2,6.942825985535018e-09,1232,45.40839621228159
2024-04-02 16:35,128,1e-05,3,1,1,5,3,3,4,6.223915007016539e-09,1534,22.704121378740922
2024-04-02 16:35,128,1e-05,3,1,1,5,3,3,6,6.217510076924376e-09,1836,22.501901150128703
2024-04-02 16:35,128,1e-05,3,1,1,5,3,5,2,1.091281623527462e-08,1940,45.40623577659492
2024-04-02 16:35,128,1e-05,3,1,1,5,3,5,4,1.0662503370838798e-08,2270,37.50127038551457
2024-04-02 16:35,128,1e-05,3,1,1,5,3,5,6,1.0662503371260187e-08,2600,37.50127053317592
2024-04-02 16:35,128,1e-05,3,1,1,5,3,7,2,1.5747505459047545e-08,2968,52.50202864599926
2024-04-02 16:35,128,1e-05,3,1,1,5,3,7,4,1.574750545904812e-08,3326,52.502028646205986
2024-04-02 16:35,128,1e-05,3,1,1,5,3,7,6,1.5747505459048693e-08,3684,52.50202864641272
2024-04-02 16:35,128,1e-05,3,1,1,5,5,1,2,1.5809678211804962e-06,1084,47.8966215157672
2024-04-02 16:35,128,1e-05,3,1,1,5,5,1,4,1.959679815533096e-06,1358,24.04313402556261
2024-04-02 16:35,128,1e-05,3,1,1,5,5,1,6,2.395428972554726e-06,1632,16.092237734492745
2024-04-02 16:35,128,1e-05,3,1,1,5,5,3,2,8.682825799479462e-09,1472,45.407914002409754
2024-04-02 16:35,128,1e-05,3,1,1,5,5,3,4,7.963915891289749e-09,1774,22.704046234581597
2024-04-02 16:35,128,1e-05,3,1,1,5,5,3,6,7.95751100004328e-09,2076,22.501828140964065
2024-04-02 16:35,128,1e-05,3,1,1,5,5,5,2,1.3812814793256013e-08,2180,45.40557207313532
2024-04-02 16:35,128,1e-05,3,1,1,5,5,5,4,1.3562502497146426e-08,2510,37.50081767376111
2024-04-02 16:36,128,1e-05,3,1,1,5,5,5,6,1.3562502497653107e-08,2840,37.500817821420796
2024-04-02 16:36,128,1e-05,3,1,1,5,5,7,2,1.9807503330954455e-08,3208,52.50114115295537
2024-04-02 16:36,128,1e-05,3,1,1,5,5,7,4,1.980750333095514e-08,3566,52.501141153162095
2024-04-02 16:36,128,1e-05,3,1,1,5,5,7,6,1.9807503330955825e-08,3924,52.50114115336882
2024-04-02 16:36,128,1e-05,3,1,1,5,7,1,2,2.905776230493136e-06,1324,48.47724508693616
2024-04-02 16:36,128,1e-05,3,1,1,5,7,1,4,3.468552461463895e-06,1598,24.334668071021927
2024-04-02 16:36,128,1e-05,3,1,1,5,7,1,6,4.100560872231002e-06,1872,16.287411996542836
2024-04-02 16:36,128,1e-05,3,1,1,5,7,3,2,1.0422830742479196e-08,1712,45.40809532913225
2024-04-02 16:36,128,1e-05,3,1,1,5,7,3,4,9.703918879462461e-09,2014,22.704136974879745
2024-04-02 16:36,128,1e-05,3,1,1,5,7,3,6,9.697514146272718e-09,2316,22.501918073765474
2024-04-02 16:36,128,1e-05,3,1,1,5,7,5,2,1.671281581946753e-08,2420,45.40557187589967
2024-04-02 16:36,128,1e-05,3,1,1,5,7,5,4,1.646250333413083e-08,2750,37.50081755489065
2024-04-02 16:36,128,1e-05,3,1,1,5,7,5,6,1.6462503334801552e-08,3080,37.500817702550336
2024-04-02 16:36,128,1e-05,3,1,1,5,7,7,2,2.3867504453497175e-08,3448,52.50114074365519
2024-04-02 16:36,128,1e-05,3,1,1,5,7,7,4,2.386750445349809e-08,3806,52.50114074386192
2024-04-02 16:36,128,1e-05,3,1,1,5,7,7,6,2.3867504453499008e-08,4164,52.50114074406864
2024-04-02 16:36,128,1e-05,3,1,1,7,1,1,2,7.71492528200157e-06,804,50.15452200241406
2024-04-02 16:36,128,1e-05,3,1,1,7,1,1,4,3.685002840177787e-06,1078,24.42262339354137
2024-04-02 16:36,128,1e-05,3,1,1,7,1,1,6,2.9745867629993065e-06,1352,16.180730332774612
2024-04-02 16:36,128,1e-05,3,1,1,7,1,3,2,6.730288031738655e-09,1208,48.26852071693424
2024-04-02 16:37,128,1e-05,3,1,1,7,1,3,4,1.7777577846373194e-09,1510,23.4102772962478
2024-04-02 16:37,128,1e-05,3,1,1,7,1,3,6,1.837924261092241e-09,1812,23.195453769807884
2024-04-02 16:37,128,1e-05,3,1,1,7,1,5,2,2.0643603844457837e-09,1932,48.266255049827805
2024-04-02 16:37,128,1e-05,3,1,1,7,1,5,4,1.409629831759284e-09,2262,39.443701469148785
2024-04-02 16:37,128,1e-05,3,1,1,7,1,5,6,1.409883395429202e-09,2592,39.443701623922145
2024-04-02 16:37,128,1e-05,3,1,1,7,1,7,2,2.753395349679201e-09,2976,56.34069225645464
2024-04-02 16:37,128,1e-05,3,1,1,7,1,7,4,2.753395847168358e-09,3334,56.340692256675396
2024-04-02 16:37,128,1e-05,3,1,1,7,1,7,6,2.753396344657515e-09,3692,56.340692256896155
2024-04-02 16:37,128,1e-05,3,1,1,7,3,1,2,1.7591056076239689e-06,1140,47.991477713937286
2024-04-02 16:37,128,1e-05,3,1,1,7,3,1,4,2.1649282166813386e-06,1414,24.090515785745033
2024-04-02 16:37,128,1e-05,3,1,1,7,3,1,6,2.629853046290616e-06,1688,16.123903662296488
2024-04-02 16:37,128,1e-05,3,1,1,7,3,3,2,6.300047815641811e-12,1544,45.40889563821252
2024-04-02 16:37,128,1e-05,3,1,1,7,3,3,4,5.579671246859225e-12,1846,22.70430469837308
2024-04-02 16:37,128,1e-05,3,1,1,7,3,3,6,5.57424726810763e-12,2148,22.502082250661825
2024-04-02 16:37,128,1e-05,3,1,1,7,3,5,2,9.399167107499472e-12,2268,45.40650148848853
2024-04-02 16:37,128,1e-05,3,1,1,7,3,5,4,9.148729563592924e-12,2598,37.50145165558835
2024-04-02 16:37,128,1e-05,3,1,1,7,3,5,6,9.148729740381268e-12,2928,37.50145180325036
2024-04-02 16:37,128,1e-05,3,1,1,7,3,7,2,1.3188261676001618e-11,3312,52.502383687963736
2024-04-02 16:37,128,1e-05,3,1,1,7,3,7,4,1.3188261676240702e-11,3670,52.50238368817047
2024-04-02 16:37,128,1e-05,3,1,1,7,3,7,6,1.3188261676479788e-11,4028,52.50238368837719
2024-04-02 16:38,128,1e-05,3,1,1,7,5,1,2,3.9025718865256835e-06,1476,48.807156032832324
2024-04-02 16:38,128,1e-05,3,1,1,7,5,1,4,4.585859614747135e-06,1750,24.50031792195327
2024-04-02 16:38,128,1e-05,3,1,1,7,5,1,6,5.3448112584989075e-06,2024,16.398310118813626
2024-04-02 16:38,128,1e-05,3,1,1,7,5,3,2,7.539577876910744e-12,1880,45.4082204103765
2024-04-02 16:38,128,1e-05,3,1,1,7,5,3,4,6.821492315100722e-12,2182,22.70419946372833
2024-04-02 16:38,128,1e-05,3,1,1,7,5,3,6,6.815993059869959e-12,2484,22.501980005601425
2024-04-02 16:38,128,1e-05,3,1,1,7,5,5,2,1.1470064434687578e-11,2604,45.40557217257131
2024-04-02 16:38,128,1e-05,3,1,1,7,5,5,4,1.1219752295052966e-11,2934,37.50081776998821
2024-04-02 16:38,128,1e-05,3,1,1,7,5,5,6,1.121975235364907e-11,3264,37.50081791764789
2024-04-02 16:38,128,1e-05,3,1,1,7,5,7,2,1.60876091048123e-11,3648,52.501141022002436
2024-04-02 16:38,128,1e-05,3,1,1,7,5,7,4,1.6087609104870626e-11,4006,52.501141022209154
2024-04-02 16:38,128,1e-05,3,1,1,7,5,7,6,1.6087609104928952e-11,4364,52.50114102241588
2024-04-02 16:38,128,1e-05,3,1,1,7,7,1,2,7.3329938894370835e-06,1812,49.63868681632811
2024-04-02 16:38,128,1e-05,3,1,1,7,7,1,4,8.366019723852606e-06,2086,24.91783367769267
2024-04-02 16:38,128,1e-05,3,1,1,7,7,1,6,9.492088170375013e-06,2360,16.677825691021017
2024-04-02 16:38,128,1e-05,3,1,1,7,7,3,2,8.783629800997009e-12,2216,45.4084741409803
2024-04-02 16:38,128,1e-05,3,1,1,7,7,3,4,8.065659962315986e-12,2518,22.704326468958104
2024-04-02 16:38,128,1e-05,3,1,1,7,7,3,6,8.060282323326817e-12,2820,22.502105880898064
2024-04-02 16:38,128,1e-05,3,1,1,7,7,5,2,1.3541493657718822e-11,2940,45.40557176758733
2024-04-02 16:38,128,1e-05,3,1,1,7,7,5,4,1.3291181413685191e-11,3270,37.500817515675145
2024-04-02 16:39,128,1e-05,3,1,1,7,7,5,6,1.3291181472362253e-11,3600,37.50081766333483
2024-04-02 16:39,128,1e-05,3,1,1,7,7,7,2,1.898760979837027e-11,3984,52.50114027670914
2024-04-02 16:39,128,1e-05,3,1,1,7,7,7,4,1.8987609798428687e-11,4342,52.501140276915855
2024-04-02 16:39,128,1e-05,3,1,1,7,7,7,6,1.89876097984871e-11,4700,52.50114027712258
2024-04-02 16:39,128,1e-05,3,1,1,9,1,1,2,1.6778726568772656e-05,1052,51.600648437353705
2024-04-02 16:39,128,1e-05,3,1,1,9,1,1,4,7.634011247301915e-06,1326,24.912639090909227
2024-04-02 16:39,128,1e-05,3,1,1,9,1,1,6,5.876457082197611e-06,1600,16.45795041911966
2024-04-02 16:39,128,1e-05,3,1,1,9,1,3,2,1.2004131024880779e-08,1472,49.11237713856271
2024-04-02 16:39,128,1e-05,3,1,1,9,1,3,4,3.150690189928803e-09,1774,23.615433770712333
2024-04-02 16:39,128,1e-05,3,1,1,9,1,3,6,3.246166191859132e-09,2076,23.396921155873905
2024-04-02 16:39,128,1e-05,3,1,1,9,1,5,2,3.4045023959687555e-09,2212,49.10986853125513
2024-04-02 16:39,128,1e-05,3,1,1,9,1,5,4,2.320822938249122e-09,2542,40.01355677624462
2024-04-02 16:39,128,1e-05,3,1,1,9,1,5,6,2.3212423920723573e-09,2872,40.01355693309442
2024-04-02 16:39,128,1e-05,3,1,1,9,1,7,2,4.540033098003969e-09,3272,57.47846608401464
2024-04-02 16:39,128,1e-05,3,1,1,9,1,7,4,4.540033921312112e-09,3630,57.478466084239535
2024-04-02 16:39,128,1e-05,3,1,1,9,1,7,6,4.540034744620255e-09,3988,57.47846608446442
2024-04-02 16:39,128,1e-05,3,1,1,9,3,1,2,3.770769456985584e-06,1484,48.76687705878347
2024-04-02 16:39,128,1e-05,3,1,1,9,3,1,4,4.435898465155885e-06,1758,24.479772450418363
2024-04-02 16:39,128,1e-05,3,1,1,9,3,1,6,5.1770781126991e-06,2032,16.384483813124753
2024-04-02 16:39,128,1e-05,3,1,1,9,3,3,2,1.8221777912950384e-14,1904,45.40942550775644
2024-04-02 16:40,128,1e-05,3,1,1,9,3,3,4,1.485687968893527e-14,2206,22.70450319721464
2024-04-02 16:40,128,1e-05,3,1,1,9,3,3,6,1.602223298852072e-14,2508,22.502278394836303
2024-04-02 16:40,128,1e-05,3,1,1,9,3,5,2,9.563314820875784e-15,2644,45.40676738518163
2024-04-02 16:40,128,1e-05,3,1,1,9,3,5,4,9.125877659986675e-15,2974,37.5016330541788
2024-04-02 16:40,128,1e-05,3,1,1,9,3,5,6,9.126098401759258e-15,3304,37.50163320184148
2024-04-02 16:40,128,1e-05,3,1,1,9,3,7,2,1.295301244941381e-14,3704,52.50273895299351
2024-04-02 16:40,128,1e-05,3,1,1,9,3,7,4,1.2953012760107217e-14,4062,52.502738953200236
2024-04-02 16:40,128,1e-05,3,1,1,9,3,7,6,1.2953013070800675e-14,4420,52.50273895340697
2024-04-02 16:40,128,1e-05,3,1,1,9,5,1,2,8.366741529806504e-06,1916,49.836454433374776
2024-04-02 16:40,128,1e-05,3,1,1,9,5,1,4,9.492437462494726e-06,2190,25.01713354793258
2024-04-02 16:40,128,1e-05,3,1,1,9,5,1,6,1.0715301280354141e-05,2464,16.74430422724827
2024-04-02 16:40,128,1e-05,3,1,1,9,5,3,2,1.3976470435114058e-14,2336,45.40855735044037
2024-04-02 16:40,128,1e-05,3,1,1,9,5,3,4,1.4236708759707863e-14,2638,22.704367894654194
2024-04-02 16:40,128,1e-05,3,1,1,9,5,3,6,1.5299585969397448e-14,2940,22.502146936056022
2024-04-02 16:40,128,1e-05,3,1,1,9,5,5,2,1.0409340730946007e-14,3076,45.40557254748811
2024-04-02 16:40,128,1e-05,3,1,1,9,5,5,4,1.015904621837815e-14,3406,37.50081805673876
2024-04-02 16:40,128,1e-05,3,1,1,9,5,5,6,1.0159104524367965e-14,3736,37.50081820439844
2024-04-02 16:40,128,1e-05,3,1,1,9,5,7,2,1.426068810975002e-14,4136,52.50114123508975
2024-04-02 16:40,128,1e-05,3,1,1,9,5,7,4,1.426068816763461e-14,4494,52.501141235296465
2024-04-02 16:40,128,1e-05,3,1,1,9,5,7,6,1.4260688225519224e-14,4852,52.50114123550319
2024-04-02 16:41,128,1e-05,3,1,1,9,7,1,2,1.5728940481960934e-05,2348,50.93244830993308
2024-04-02 16:41,128,1e-05,3,1,1,9,7,1,4,1.743648447825146e-05,2622,25.567437156372463
2024-04-02 16:41,128,1e-05,3,1,1,9,7,1,6,1.926398689022067e-05,2896,17.112717415008998
2024-04-02 16:41,128,1e-05,3,1,1,9,7,3,2,1.6792151256237535e-14,2768,45.408883578291274
2024-04-02 16:41,128,1e-05,3,1,1,9,7,3,4,1.7218035856688076e-14,3070,22.704531188509318
2024-04-02 16:41,128,1e-05,3,1,1,9,7,3,6,1.8451615757847927e-14,3372,22.50230877712755
2024-04-02 16:41,128,1e-05,3,1,1,9,7,5,2,1.2020282777224746e-14,3508,45.405572026709905
2024-04-02 16:41,128,1e-05,3,1,1,9,7,5,4,1.1770028790182269e-14,3838,37.50081772970716
2024-04-02 16:41,128,1e-05,3,1,1,9,7,5,6,1.1770087049662768e-14,4168,37.50081787736684
2024-04-02 16:41,128,1e-05,3,1,1,9,7,7,2,1.6515976291953976e-14,4568,52.501140276742504
2024-04-02 16:41,128,1e-05,3,1,1,9,7,7,4,1.651597634974153e-14,4926,52.50114027694923
2024-04-02 16:41,128,1e-05,3,1,1,9,7,7,6,1.6515976407529104e-14,5284,52.501140277155955
2024-04-02 16:41,128,1e-05,3,1,1,11,1,1,2,3.2723526034628744e-05,1348,53.19089274015258
2024-04-02 16:41,128,1e-05,3,1,1,11,1,1,4,1.452880073192542e-05,1622,25.46310340102261
2024-04-02 16:41,128,1e-05,3,1,1,11,1,1,6,1.087733460832119e-05,1896,16.773500098515182
2024-04-02 16:41,128,1e-05,3,1,1,11,1,3,2,1.9494577165966247e-08,1784,49.96812923853801
2024-04-02 16:41,128,1e-05,3,1,1,11,1,3,4,5.093255343808008e-09,2086,23.82206248026031
2024-04-02 16:41,128,1e-05,3,1,1,11,1,3,6,5.2289602096023904e-09,2388,23.59982182328537
2024-04-02 16:41,128,1e-05,3,1,1,11,1,5,2,5.092079330319065e-09,2540,49.96533738384287
2024-04-02 16:41,128,1e-05,3,1,1,11,1,5,4,3.4705564746345824e-09,2870,40.59004860317697
2024-04-02 16:42,128,1e-05,3,1,1,11,1,5,6,3.471183557060465e-09,3200,40.59004876212277
2024-04-02 16:42,128,1e-05,3,1,1,11,1,7,2,6.790275406683962e-09,3616,58.63467087642149
2024-04-02 16:42,128,1e-05,3,1,1,11,1,7,4,6.790276637996178e-09,3974,58.63467087665057
2024-04-02 16:42,128,1e-05,3,1,1,11,1,7,6,6.790277869308393e-09,4332,58.634670876879646
2024-04-02 16:42,128,1e-05,3,1,1,11,3,1,2,7.422032199394533e-06,1876,49.655609027484026
2024-04-02 16:42,128,1e-05,3,1,1,11,3,1,4,8.456780402015356e-06,2150,24.925930906906398
2024-04-02 16:42,128,1e-05,3,1,1,11,3,1,6,9.587345527829035e-06,2424,16.683157459360903
2024-04-02 16:42,128,1e-05,3,1,1,11,3,3,2,1.6783918637853996e-14,2312,45.40998565674348
2024-04-02 16:42,128,1e-05,3,1,1,11,3,3,4,1.2524703185792384e-14,2614,22.704716834366263
2024-04-02 16:42,128,1e-05,3,1,1,11,3,3,6,1.3918713059778797e-14,2916,22.502489542480806
2024-04-02 16:42,128,1e-05,3,1,1,11,3,5,2,1.1537312447728644e-15,3068,45.40703330143384
2024-04-02 16:42,128,1e-05,3,1,1,11,3,5,4,8.922130512128663e-16,3398,37.501814468571794
2024-04-02 16:42,128,1e-05,3,1,1,11,3,5,6,8.924825532898992e-16,3728,37.50181461623514
2024-04-02 16:42,128,1e-05,3,1,1,11,3,7,2,1.4124295066391067e-15,4144,52.50309422016755
2024-04-02 16:42,128,1e-05,3,1,1,11,3,7,4,1.4124298982156372e-15,4502,52.50309422037428
2024-04-02 16:42,128,1e-05,3,1,1,11,3,7,6,1.4124302897922246e-15,4860,52.50309422058101
2024-04-02 16:42,128,1e-05,3,1,1,11,5,1,2,1.622402021089029e-05,2404,50.99171719513331
2024-04-02 16:42,128,1e-05,3,1,1,11,5,1,4,1.7965232933334433e-05,2678,25.59719612295801
2024-04-02 16:42,128,1e-05,3,1,1,11,5,1,6,1.9827637402644502e-05,2952,17.132640197295597
2024-04-02 16:42,128,1e-05,3,1,1,11,5,3,2,9.055329078953612e-15,2840,45.408924566190166
2024-04-02 16:43,128,1e-05,3,1,1,11,5,3,4,1.0217750315150986e-14,3142,22.70455146343799
2024-04-02 16:43,128,1e-05,3,1,1,11,5,3,6,1.1479686032240009e-14,3444,22.50232886954373
2024-04-02 16:43,128,1e-05,3,1,1,11,5,5,2,1.1743383032063423e-16,3596,45.405572940758795
2024-04-02 16:43,128,1e-05,3,1,1,11,5,5,4,1.1719205751488668e-16,3926,37.50081835862036
2024-04-02 16:43,128,1e-05,3,1,1,11,5,5,6,1.172504062731879e-16,4256,37.50081850628005
2024-04-02 16:43,128,1e-05,3,1,1,11,5,7,2,1.1961198774832666e-16,4672,52.501141448448244
2024-04-02 16:43,128,1e-05,3,1,1,11,5,7,4,1.1961204565418722e-16,5030,52.50114144865496
2024-04-02 16:43,128,1e-05,3,1,1,11,5,7,6,1.1961210356006877e-16,5388,52.50114144886169
2024-04-02 16:43,128,1e-05,3,1,1,11,7,1,2,3.0228195435317577e-05,2932,52.36788637098599
2024-04-02 16:43,128,1e-05,3,1,1,11,7,1,4,3.286005682453082e-05,3206,26.28817617434085
2024-04-02 16:43,128,1e-05,3,1,1,11,7,1,6,3.5641577093409375e-05,3480,17.59523179115392
2024-04-02 16:43,128,1e-05,3,1,1,11,7,3,2,1.1776392621108376e-14,3368,45.40932329291511
2024-04-02 16:43,128,1e-05,3,1,1,11,7,3,4,1.3160763107726922e-14,3670,22.70475104671622
2024-04-02 16:43,128,1e-05,3,1,1,11,7,3,6,1.465037932241935e-14,3972,22.502526677180658
2024-04-02 16:43,128,1e-05,3,1,1,11,7,5,2,1.1854449903410037e-16,4124,45.40557230425203
