date,precision_in_bits,pphys,dx,dz,dm,dx2,dz2,dm2,error_rate,qubits,code_cycles
2024-04-01 14:51,128,1e-05,3,1,1,3,1,1,7.233722540071431e-06,230,97.16615388816767
2024-04-01 14:52,128,1e-05,3,1,1,3,1,3,7.843263137576328e-06,286,95.26939194559961
2024-04-01 14:52,128,1e-05,3,1,1,3,1,5,1.4034992946725147e-05,374,162.30614089536826
2024-04-01 14:52,128,1e-05,3,1,1,3,1,7,2.1208952855101422e-05,494,234.41772464788795
2024-04-01 14:52,128,1e-05,3,1,1,3,3,1,6.42816409112552e-06,326,93.37143899220496
2024-04-01 14:52,128,1e-05,3,1,1,3,3,3,1.0630254735258645e-05,382,90.8177264254999
2024-04-01 14:52,128,1e-05,3,1,1,3,3,5,1.867263048550033e-05,470,150.01009829123268
2024-04-01 14:52,128,1e-05,3,1,1,3,3,7,2.768477484811394e-05,590,210.0179479200989
2024-04-01 14:52,128,1e-05,3,1,1,3,5,1,7.620824419503015e-06,422,94.11744835818084
2024-04-01 14:52,128,1e-05,3,1,1,3,5,3,1.3430200127164594e-05,478,90.8171237942011
2024-04-01 14:52,128,1e-05,3,1,1,3,5,5,2.333911014156153e-05,566,150.00779766683087
2024-04-01 14:52,128,1e-05,3,1,1,3,5,7,3.421772112555328e-05,686,210.01343816964123
2024-04-01 14:52,128,1e-05,3,1,1,3,7,1,8.957997677238952e-06,518,94.87134760248277
2024-04-01 14:52,128,1e-05,3,1,1,3,7,3,1.6230143402103003e-05,574,90.81797638396698
2024-04-01 14:52,128,1e-05,3,1,1,3,7,5,2.8005580981512662e-05,662,150.00946747799708
2024-04-01 14:52,128,1e-05,3,1,1,3,7,7,4.075065012177527e-05,782,210.016710568911
2024-04-01 14:52,128,1e-05,3,1,1,5,1,1,7.0103671142440986e-06,334,100.90845698215308
2024-04-01 14:52,128,1e-05,3,1,1,5,1,3,1.805080960621302e-08,406,98.33189713502661
2024-04-01 14:52,128,1e-05,3,1,1,5,1,5,2.166040962756241e-08,510,170.9315047306019
2024-04-01 14:52,128,1e-05,3,1,1,5,1,7,3.649964613111564e-08,646,251.86914819268625
2024-04-01 14:53,128,1e-05,3,1,1,5,3,1,6.376981408434975e-07,494,94.4538929995285
2024-04-01 14:53,128,1e-05,3,1,1,5,3,3,8.680362410325377e-09,566,90.818045623997
2024-04-01 14:53,128,1e-05,3,1,1,5,3,5,1.485628296211416e-08,670,150.00989587069853
2024-04-01 14:53,128,1e-05,3,1,1,5,3,7,2.1628810338080635e-08,806,210.01755031154048
2024-04-01 14:53,128,1e-05,3,1,1,5,5,1,1.516349061640275e-06,654,95.71518014187185
2024-04-01 14:53,128,1e-05,3,1,1,5,5,3,1.0360356916888232e-08,726,90.81602028825066
2024-04-01 14:53,128,1e-05,3,1,1,5,5,5,1.7656260106336155e-08,830,150.00327599671567
