date,precision_in_bits,pphys,dx,dz,dm,error_rate,qubits,code_cycles
2024-03-29 21:03,128,1e-05,7,7,3,7.602979748063515e-12,986,36.00437608429147
2024-03-29 21:03,128,1e-05,7,7,5,1.1951024893082523e-11,990,60.00600127233433
2024-03-29 21:03,128,1e-05,7,7,7,1.630727971464216e-11,994,84.00840045164915
2024-03-29 21:03,128,1e-05,7,7,9,2.066353946237631e-11,998,108.01080058009065
2024-03-29 21:03,128,1e-05,7,7,11,2.5019799214608632e-11,1002,132.0132007101858
2024-03-29 21:03,128,1e-05,7,9,3,8.633748930130249e-12,1210,36.00454290620432
2024-03-29 21:03,128,1e-05,7,9,5,1.3665317656116037e-11,1214,60.00600144336144
2024-03-29 21:03,128,1e-05,7,9,7,1.8707288335450988e-11,1218,84.00840045063325
2024-03-29 21:03,128,1e-05,7,9,9,2.3749264830956434e-11,1222,108.01080057806435
2024-03-29 21:03,128,1e-05,7,9,11,2.879124133152932e-11,1226,132.01320070707567
2024-03-29 21:05,128,1e-05,7,11,3,9.664681763799736e-12,1434,36.00470972920901
2024-03-29 21:05,128,1e-05,7,11,5,1.5379610423136265e-11,1438,60.00600161510537
2024-03-29 21:05,128,1e-05,7,11,7,2.1107296961588626e-11,1442,84.00840045105585
2024-03-29 21:05,128,1e-05,7,11,9,2.6834990206548166e-11,1446,108.01080057847143
2024-03-29 21:05,128,1e-05,7,11,11,3.2562683457216244e-11,1450,132.01320070768344
2024-03-29 21:05,128,1e-05,9,3,3,3.1869110184519864e-14,762,36.00492874721421
2024-03-29 21:05,128,1e-05,9,3,5,3.2745450656034656e-14,766,60.00812629279725
2024-03-29 21:05,128,1e-05,9,3,7,4.340971708142135e-14,770,84.0126443330197
2024-03-29 21:05,128,1e-05,9,3,9,5.555414111418753e-14,774,108.0179456364461
2024-03-29 21:05,128,1e-05,9,3,11,6.929649446239897e-14,778,132.0240678842462
2024-03-29 21:06,128,1e-05,9,5,3,2.506019094988718e-14,1050,36.00439093617031
2024-03-29 21:06,128,1e-05,9,5,5,1.995614729045903e-14,1054,60.00600255583409
2024-03-29 21:06,128,1e-05,9,5,7,2.3243576843988374e-14,1058,84.00840299550686
2024-03-29 21:06,128,1e-05,9,5,9,2.6536081516105708e-14,1062,108.010804862948
2024-03-29 21:06,128,1e-05,9,5,11,2.9828690740351936e-14,1066,132.01320722412387
2024-03-29 21:06,128,1e-05,9,7,3,2.8692836311196946e-14,1338,36.00460291449192
2024-03-29 21:06,128,1e-05,9,7,5,2.1284002208274782e-14,1342,60.00600149884832
2024-03-29 21:06,128,1e-05,9,7,7,2.5100825574856843e-14,1346,84.00840045126797
2024-03-29 21:06,128,1e-05,9,7,9,2.8923746860361856e-14,1350,108.01080057908581
2024-03-29 21:06,128,1e-05,9,7,11,3.274667351140676e-14,1354,132.0132007086844
2024-03-29 21:07,128,1e-05,9,9,3,3.259948254192727e-14,1626,36.004815343946234
2024-03-29 21:07,128,1e-05,9,9,5,2.2618462340000715e-14,1630,60.0060017151615
2024-03-29 21:07,128,1e-05,9,9,7,2.6967493042120033e-14,1634,84.00840044967283
2024-03-29 21:07,128,1e-05,9,9,9,3.132374667329884e-14,1638,108.01080057602664
2024-03-29 21:07,128,1e-05,9,9,11,3.5680006419894855e-14,1642,132.01320070403128
2024-03-29 21:07,128,1e-05,9,11,3,3.6786033276036594e-14,1914,36.00502777508566
2024-03-29 21:07,128,1e-05,9,11,5,2.395292726882425e-14,1918,60.00600193238407
2024-03-29 21:07,128,1e-05,9,11,7,2.883416723457554e-14,1922,84.00840044989363
2024-03-29 21:07,128,1e-05,9,11,9,3.37237552926684e-14,1926,108.0108005760248
2024-03-29 21:07,128,1e-05,9,11,11,3.8613350287063204e-14,1930,132.01320070402815
2024-03-29 21:09,128,1e-05,11,3,3,3.169715460387671e-14,1018,36.005243191036826
2024-03-29 21:09,128,1e-05,11,3,5,2.830406245445237e-14,1022,60.008576501107676
2024-03-29 21:09,128,1e-05,11,3,7,3.859133992666819e-14,1026,84.01352645420079
2024-03-29 21:09,128,1e-05,11,3,9,5.08910081349024e-14,1030,108.0194038561073
2024-03-29 21:09,128,1e-05,11,3,11,6.534225004210691e-14,1034,132.0262462425223
2024-03-29 21:09,128,1e-05,11,5,3,2.1423605819912685e-14,1370,36.004589059862646
2024-03-29 21:09,128,1e-05,11,5,5,1.0393870699506313e-14,1374,60.00600302388012
2024-03-29 21:09,128,1e-05,11,5,7,1.0394291336394452e-14,1378,84.00840352495368
2024-03-29 21:09,128,1e-05,11,5,9,1.0400813899669603e-14,1382,108.01080573782889
2024-03-29 21:09,128,1e-05,11,5,11,1.0407441945722471e-14,1386,132.01320853104443
2024-03-29 21:10,128,1e-05,11,7,3,2.5205456542901807e-14,1722,36.00484654886764
2024-03-29 21:10,128,1e-05,11,7,5,1.0388314455263442e-14,1726,60.00600174266678
2024-03-29 21:10,128,1e-05,11,7,7,1.0384434477958692e-14,1730,84.00840045188885
2024-03-29 21:10,128,1e-05,11,7,9,1.038791429073432e-14,1734,108.01080057970965
2024-03-29 21:10,128,1e-05,11,7,11,1.0391400369888771e-14,1738,132.01320070961597
2024-03-29 21:10,128,1e-05,11,9,3,2.941068431462417e-14,2074,36.00510458673108
2024-03-29 21:10,128,1e-05,11,9,5,1.039076304111452e-14,2078,60.00600200439201
2024-03-29 21:10,128,1e-05,11,9,7,1.0385954617965679e-14,2082,84.00840044996137
2024-03-29 21:10,128,1e-05,11,9,9,1.0389867323045957e-14,2086,108.01080057602579
2024-03-29 21:10,128,1e-05,11,9,11,1.0393787213012747e-14,2090,132.01320070402957
2024-03-29 21:11,128,1e-05,11,11,3,3.405251725870701e-14,2426,36.0053626269993
2024-03-29 21:11,128,1e-05,11,11,5,1.0393217460143969e-14,2430,60.006002267219195
2024-03-29 21:11,128,1e-05,11,11,7,1.0387482880997407e-14,2434,84.0084004502273
2024-03-29 21:11,128,1e-05,11,11,9,1.039183095899823e-14,2438,108.0108005760232
2024-03-29 21:11,128,1e-05,11,11,11,1.0396187211399553e-14,2442,132.01320070402522
