date,precision_in_bits,pphys,dx,dz,dm,error_rate,qubits,code_cycles
2024-04-02 15:39,128,0.001,5,3,3,0.005937623946198307,346,44.86702525345763
2024-04-02 15:39,128,0.001,5,3,5,0.00924544099361161,350,74.99081529883063
2024-04-02 15:39,128,0.001,5,5,3,0.0072835105179209405,506,41.66949569937058
2024-04-02 15:39,128,0.001,5,5,5,0.011526747005400568,510,62.50166958408652
2024-04-02 15:39,128,0.001,7,3,3,0.0007977631523059716,538,48.304642226127946
2024-04-02 15:39,128,0.001,7,3,5,0.0009078859709630098,542,80.27057157463292
2024-04-02 15:39,128,0.001,7,5,3,0.0007294251362051397,762,43.5607826688205
2024-04-02 15:39,128,0.001,7,5,5,0.001023202687764576,766,62.470096103563655
2024-04-02 15:39,128,0.0007943282347242813,5,3,3,0.0029552466742889132,346,41.43007534133262
2024-04-02 15:39,128,0.0007943282347242813,5,3,5,0.004636386905447685,350,69.13381054777183
2024-04-02 15:40,128,0.0007943282347242813,5,5,3,0.0036517974389314975,506,39.47771212586382
2024-04-02 15:40,128,0.0007943282347242813,5,5,5,0.00580578240942607,510,61.421491316384675
2024-04-02 15:40,128,0.0007943282347242813,7,3,3,0.0002828478169285568,538,43.433925328681674
2024-04-02 15:40,128,0.0007943282347242813,7,3,5,0.000352968093217807,542,72.25749065586392
2024-04-02 15:40,128,0.0007943282347242813,7,5,3,0.00027940632406382466,762,40.601436754619826
2024-04-02 15:40,128,0.0007943282347242813,7,5,5,0.0004072882216028742,766,61.40174868875425
2024-04-02 15:40,128,0.000630957344480193,5,3,3,0.0014754854977857622,346,39.384728880920996
2024-04-02 15:40,128,0.000630957344480193,5,3,5,0.0023237635093778936,350,65.66734299316572
2024-04-02 15:40,128,0.000630957344480193,5,5,3,0.0018304297401983212,506,38.17416419239758
2024-04-02 15:40,128,0.000630957344480193,5,5,5,0.002917002394600666,510,60.849978472539505
2024-04-02 15:41,128,0.000630957344480193,7,3,3,0.0001038568011029445,538,40.588180056613275
2024-04-02 15:41,128,0.000630957344480193,7,3,5,0.00013859715213256427,542,67.56113428834644
2024-04-02 15:41,128,0.000630957344480193,7,5,3,0.00010859922212596223,762,38.85832895202223
2024-04-02 15:41,128,0.000630957344480193,7,5,5,0.00016212629604150485,766,60.83854739138522
2024-04-02 15:41,128,0.000501187233627272,5,3,3,0.0007379236694626701,346,38.13723435108389
2024-04-02 15:41,128,0.000501187233627272,5,3,5,0.0011644366347202146,350,63.564403874861725
2024-04-02 15:41,128,0.000501187233627272,5,5,3,0.0009173733027546806,506,37.37979281068096
2024-04-02 15:41,128,0.000501187233627272,5,5,5,0.001463767924698188,510,60.536421619712605
2024-04-02 15:41,128,0.000501187233627272,7,3,3,3.9126190629438814e-05,538,38.87379099041872
2024-04-02 15:41,128,0.000501187233627272,7,3,5,5.472194170047929e-05,542,64.73057882377759
2024-04-02 15:43,128,0.000501187233627272,7,5,3,4.258809925546812e-05,762,37.80250503404349
2024-04-02 15:43,128,0.000501187233627272,7,5,5,6.453847510228267e-05,766,60.53008366785604
2024-04-02 15:43,128,0.0003981071705534969,5,3,3,0.0003693934961795331,346,37.363437131766084
2024-04-02 15:43,128,0.0003981071705534969,5,3,5,0.0005834736715452759,350,62.26639856519751
2024-04-02 15:43,128,0.0003981071705534969,5,5,3,0.00045974860586075984,506,36.887055399844996
2024-04-02 15:43,128,0.0003981071705534969,5,5,5,0.0007340696006048818,510,60.356879315148326
2024-04-02 15:43,128,0.0003981071705534969,7,3,3,1.5008783844227516e-05,538,37.81961673080468
2024-04-02 15:43,128,0.0003981071705534969,7,3,5,2.1672709515843774e-05,542,62.991549922139
2024-04-02 15:43,128,0.0003981071705534969,7,5,3,1.6793262435652907e-05,762,37.15054535609073
2024-04-02 15:43,128,0.0003981071705534969,7,5,5,2.5691854922750847e-05,766,60.35346057170882
2024-04-02 15:44,128,0.0003162277660168376,5,3,3,0.00018500738894574407,346,36.87763404202368
2024-04-02 15:44,128,0.0003162277660168376,5,3,5,0.0002923721834573552,350,61.4550046927336
2024-04-02 15:44,128,0.0003162277660168376,5,5,3,0.000230405057945328,506,36.5771731458144
2024-04-02 15:44,128,0.0003162277660168376,5,5,5,0.00036801653269133124,510,60.24887650617894
2024-04-02 15:44,128,0.0003162277660168376,7,3,3,5.828908652589255e-06,538,37.16225765040594
2024-04-02 15:44,128,0.0003162277660168376,7,3,5,8.598930220598334e-06,542,61.908639992252965
2024-04-02 15:44,128,0.0003162277660168376,7,5,3,6.644560340471662e-06,762,36.742284716169955
2024-04-02 15:44,128,0.0003162277660168376,7,5,5,1.0227766542697525e-05,766,60.24706657688905
2024-04-02 15:44,128,0.0002511886431509577,5,3,3,9.268589363566637e-05,346,36.56979419838771
2024-04-02 15:44,128,0.0002511886431509577,5,3,5,0.00014651037191678755,350,60.94272843149613
2024-04-02 15:46,128,0.0002511886431509577,5,5,3,0.00011546944760795095,506,36.38001635210311
2024-04-02 15:46,128,0.0002511886431509577,5,5,5,0.00018447195043324064,510,60.18036943886959
2024-04-02 15:46,128,0.0002511886431509577,7,3,3,2.2825964309201615e-06,538,36.74819027463954
2024-04-02 15:46,128,0.0002511886431509577,7,3,5,3.4154275979574462e-06,542,61.22755401986805
2024-04-02 15:46,128,0.0002511886431509577,7,5,3,2.6346991631002933e-06,762,36.48380573068466
2024-04-02 15:46,128,0.0002511886431509577,7,5,5,4.0716675964267505e-06,766,60.179423878862984
2024-04-02 15:46,128,0.00019952623149688769,5,3,3,4.644184015896573e-05,346,36.37319584393776
