date,precision_in_bits,pphys,dx,dz,dm,error_rate,qubits,code_cycles
2024-04-01 10:40,128,1e-05,9,7,1,4.501708752742288e-06,1334,12.946416263111804
2024-04-01 10:40,128,1e-05,9,7,3,2.8692836311196946e-14,1338,36.00460291449192
2024-04-01 10:40,128,1e-05,9,7,5,2.1284002208274782e-14,1342,60.00600149884832
2024-04-01 10:40,128,1e-05,9,7,7,2.5100825574856843e-14,1346,84.00840045126797
2024-04-01 10:40,128,1e-05,11,1,1,1.8623514508729096e-06,662,12.711384419643267
2024-04-01 10:40,128,1e-05,11,1,3,1.769058598768764e-08,666,38.82502873662601
2024-04-01 10:40,128,1e-05,11,1,5,4.132509458370898e-08,670,68.1299791118132
2024-04-01 10:40,128,1e-05,11,1,7,8.365796233424912e-08,674,100.52032575382378
2024-04-01 10:40,128,1e-05,11,3,1,1.8158219488266322e-06,1014,12.664542916990516
2024-04-01 10:40,128,1e-05,11,3,3,3.169715460387671e-14,1018,36.005243191036826
2024-04-01 10:40,128,1e-05,11,3,5,2.830406245445237e-14,1022,60.008576501107676
2024-04-01 10:40,128,1e-05,11,3,7,3.859133992666819e-14,1026,84.01352645420079
2024-04-01 10:40,128,1e-05,11,5,1,4.590999252358551e-06,1366,12.93607248182337
2024-04-01 10:40,128,1e-05,11,5,3,2.1423605819912685e-14,1370,36.004589059862646
2024-04-01 10:40,128,1e-05,11,5,5,1.0393870699506313e-14,1374,60.00600302388012
2024-04-01 10:40,128,1e-05,11,5,7,1.0394291336394452e-14,1378,84.00840352495368
2024-04-01 10:40,128,1e-05,11,7,1,9.398466131650582e-06,1718,13.214055932347303
2024-04-01 10:40,128,1e-05,11,7,3,2.5205456542901807e-14,1722,36.00484654886764
2024-04-01 10:40,128,1e-05,11,7,5,1.0388314455263442e-14,1726,60.00600174266678
2024-04-01 10:40,128,1e-05,11,7,7,1.0384434477958692e-14,1730,84.00840045188885
2024-04-01 10:40,128,1e-05,13,1,1,3.723124853599034e-06,886,12.90115192063596
2024-04-01 10:40,128,1e-05,13,1,3,2.5891167463923784e-08,890,39.343485274673434
2024-04-01 10:40,128,1e-05,13,1,5,5.7065075151994374e-08,894,69.63324964326195
2024-04-01 10:40,128,1e-05,13,1,7,1.1501322280652894e-07,898,103.5971486571953
2024-04-01 10:40,128,1e-05,13,3,1,3.784746133817763e-06,1302,12.845520885979338
2024-04-01 10:40,128,1e-05,13,3,3,3.8007505959275455e-14,1306,36.00557444027604
2024-04-01 10:40,128,1e-05,13,3,5,3.236616911573102e-14,1310,60.009026728886816
2024-04-01 10:40,128,1e-05,13,3,7,4.5294204370287474e-14,1314,84.01440858270804
2024-04-01 10:40,128,1e-05,13,5,1,8.982541131663858e-06,1718,13.171616641563194
2024-04-01 10:40,128,1e-05,13,5,3,2.4553167669834963e-14,1722,36.00480398716336
2024-04-01 10:40,128,1e-05,13,5,5,1.0387128141432548e-14,1726,60.006003508728256
2024-04-01 10:40,128,1e-05,13,5,7,1.0383950353595853e-14,1730,84.00840405441791
2024-04-01 10:40,128,1e-05,13,7,1,1.774023034966611e-05,2134,13.50686020662921
2024-04-01 10:40,128,1e-05,13,7,3,2.945657940333196e-14,2138,36.005106987615896
2024-04-01 10:40,128,1e-05,13,7,5,1.0379317641150712e-14,2142,60.00600200328744
2024-04-01 10:40,128,1e-05,13,7,7,1.0370607809727143e-14,2146,84.0084004525273
2024-04-01 10:40,128,1e-05,15,1,1,6.878903935050288e-06,1142,13.112326396113769
2024-04-01 10:40,128,1e-05,15,1,3,3.635806370525723e-08,1146,39.86733213597838
2024-04-01 10:40,128,1e-05,15,1,5,7.535414991373878e-08,1150,71.16193702091627
2024-04-01 10:40,128,1e-05,15,1,7,1.5137787128347538e-07,1154,106.74519403921866
2024-04-01 10:41,128,1e-05,15,3,1,7.257536693497887e-06,1622,13.047780912958082
2024-04-01 10:41,128,1e-05,15,3,3,4.5497266217633435e-14,1626,36.00592249542437
2024-04-01 10:41,128,1e-05,15,3,5,3.671575219349945e-14,1630,60.009476976134856
2024-04-01 10:41,128,1e-05,15,3,7,5.2553742872166986e-14,1634,84.01529071854107
2024-04-01 10:41,128,1e-05,15,5,1,1.628440796237669e-05,2102,13.430877456100102
2024-04-01 10:41,128,1e-05,15,5,3,2.8267791185774956e-14,2106,36.005035718407825
2024-04-01 10:41,128,1e-05,15,5,5,1.0389722820955596e-14,2110,60.00600401037819
2024-04-01 10:41,128,1e-05,15,5,7,1.038590066089274e-14,2114,84.00840458389895
2024-04-01 10:41,128,1e-05,15,7,1,3.111706470533707e-05,2582,13.826369085159053
2024-04-01 10:41,128,1e-05,15,7,3,3.4497269317166655e-14,2586,36.0053842311415
2024-04-01 10:41,128,1e-05,15,7,5,1.0380746798863873e-14,2590,60.0060022807099
2024-04-01 10:41,128,1e-05,15,7,7,1.0370596929487317e-14,2594,84.00840045318256
2024-04-01 10:41,128,1e-05,17,1,1,1.1967594062691842e-05,1430,13.34594310346732
2024-04-01 10:41,128,1e-05,17,1,3,4.950084714250276e-08,1434,40.39659768634939
2024-04-01 10:41,128,1e-05,17,1,5,9.619712822965035e-08,1438,72.71624068552732
2024-04-01 10:41,128,1e-05,17,1,7,1.9275878786136396e-07,1442,109.96516896887819
2024-04-01 10:41,128,1e-05,17,3,1,1.3040993373118715e-05,1974,13.272341464799002
2024-04-01 10:41,128,1e-05,17,3,3,5.4345818422600554e-14,1978,36.006287357001284
2024-04-01 10:41,128,1e-05,17,3,5,4.1344784950101e-14,1982,60.009927242852186
2024-04-01 10:41,128,1e-05,17,3,7,6.03592007550287e-14,1986,84.01617286169989
2024-04-01 10:42,128,1e-05,17,5,1,2.783814243808031e-05,2518,13.715194989700098
2024-04-01 10:42,128,1e-05,17,5,3,3.266073596585911e-14,2522,36.00528425395839
2024-04-01 10:42,128,1e-05,17,5,5,1.0392414289646574e-14,2526,60.006004528829926
2024-04-01 10:42,128,1e-05,17,5,7,1.0387863231121876e-14,2530,84.00840511339679
2024-04-01 10:42,128,1e-05,17,7,1,5.160803546085925e-05,3062,14.174289818447656
2024-04-01 10:42,128,1e-05,17,7,3,4.045409879086719e-14,3066,36.005678279876285
2024-04-01 10:42,128,1e-05,17,7,5,1.0382273312454954e-14,3070,60.00600257493414
2024-04-01 10:42,128,1e-05,17,7,7,1.0370599405423012e-14,3074,84.00840045385463
2024-04-01 10:42,128,1e-05,19,1,1,1.9852585242702633e-05,1750,13.603164630926518
2024-04-01 10:42,128,1e-05,19,1,3,6.578419445105425e-08,1754,40.93130996734937
2024-04-01 10:42,128,1e-05,19,1,5,1.195983787499309e-07,1758,74.29635518174358
2024-04-01 10:42,128,1e-05,19,1,7,2.391607607341936e-07,1762,113.2577511199576
2024-04-01 10:42,128,1e-05,19,3,1,2.2239986257604958e-05,2358,13.520347799611116
2024-04-01 10:42,128,1e-05,19,3,3,6.476000378874595e-14,2362,36.006669025553144
